SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end
61;Baggio;TOS01001263;OD:TOS01001263;43.99124;10.964162;NA;NA;Toscana;NA;NA;NA;1996;2015;NA;NA;NA;NA;NA;NA
62;La Ferruccia;TOS01001269;OD:TOS01001269;43.884551;11.003848;NA;NA;Toscana;NA;NA;NA;2000;2015;2014;2015;2014;2015;NA;NA
63;Fattoria Iavello;TOS01001273;OD:TOS01001273;43.963008;11.071435;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
64;Radda in Chianti;TOS01001284;OD:TOS01001284;43.486026;11.379111;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
65;S. Donato in Poggio;TOS01001291;OD:TOS01001291;43.538057;11.232544;NA;NA;Toscana;NA;NA;NA;2000;2014;2001;2014;2001;2014;NA;NA
66;Tenuta del Corno;TOS01001311;OD:TOS01001311;43.622893;11.147281;NA;NA;Toscana;NA;NA;NA;2000;2014;NA;NA;NA;NA;NA;NA
67;Vinci;TOS01001371;OD:TOS01001371;43.788597;10.928189;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
68;Simignano;TOS01001379;OD:TOS01001379;43.293748;11.168881;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
69;Casole d'Elsa;TOS01001391;OD:TOS01001391;43.343321;11.044005;NA;NA;Toscana;NA;NA;NA;2000;2014;NA;NA;NA;NA;NA;NA
70;S. Gimignano;TOS01001419;OD:TOS01001419;43.47229;11.042352;NA;NA;Toscana;NA;NA;NA;2000;2015;2000;2015;2000;2015;NA;NA
71;Poggio Aglione;TOS01001445;OD:TOS01001445;43.531901;10.922167;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
72;S. Miniato (Cimitero);TOS01001491;OD:TOS01001491;43.684031;10.831479;NA;NA;Toscana;NA;NA;NA;2000;2015;2000;2015;2000;2015;NA;NA
73;Marti;TOS01001521;OD:TOS01001521;43.64947;10.747468;NA;NA;Toscana;NA;NA;NA;2000;2014;NA;NA;NA;NA;NA;NA
74;Serra Pistoiese;TOS01001561;OD:TOS01001561;43.975617;10.75975;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
75;Montecatini Terme;TOS01001601;OD:TOS01001601;43.896797;10.773986;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
76;Castelmartini;TOS01001629;OD:TOS01001629;43.817839;10.829129;NA;NA;Toscana;NA;NA;NA;2000;2015;2000;2015;2000;2015;NA;NA
77;S. Baronto;TOS01001634;OD:TOS01001634;43.835141;10.939066;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
78;Volterra;TOS01001664;OD:TOS01001664;43.408995;10.862233;NA;NA;Toscana;NA;NA;NA;1996;2015;2000;2015;2000;2015;NA;NA
79;La Madonnina;TOS01001679;OD:TOS01001679;43.455625;10.909972;NA;NA;Toscana;NA;NA;NA;2000;2015;2000;2015;2000;2015;NA;NA
80;Orciatico;TOS01001711;OD:TOS01001711;43.435585;10.723384;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;NA;NA
81;Ghizzano di Peccioli;TOS01001751;OD:TOS01001751;43.536004;10.790457;NA;NA;Toscana;NA;NA;NA;2000;2014;2005;2014;2005;2014;NA;NA
82;Casciana Terme;TOS01001781;OD:TOS01001781;43.526575;10.618437;NA;NA;Toscana;NA;NA;NA;2000;2014;2000;2014;2000;2014;NA;NA
83;Monte Serra;TOS01001801;OD:TOS01001801;43.751788;10.555;NA;NA;Toscana;NA;NA;NA;2000;2014;2000;2014;2000;2014;NA;NA
84;Coltano;TOS01001831;OD:TOS01001831;43.639594;10.391303;NA;NA;Toscana;NA;NA;NA;2000;2015;2000;2015;2000;2015;NA;NA
